 story_title                                    | text                                                                                                                                                                                                                                                                               
------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 剑剑剑来/活动剧情/壹·大汉好风姿                              | 蛋怎么了？还有，你身上还挂着障眼法。                                                                                                                                                                                                                                                                 
 剑剑剑来/活动剧情/壹·大汉好风姿                              | 怪不得落进来之后没立刻找到你……没事，小术法，马上就能解开。                                                                                                                                                                                                                                                     
 剑剑剑来/活动剧情/壹·大汉好风姿                              | ……修补古剑就是偶尔会被剑灵戏耍，不过可以随时离开，也不会影响现世……你想陪它继续玩吗？                                                                                                                                                                                                                                       
 剑剑剑来/活动剧情/壹·大汉好风姿                              | ……真的吗？这个造型……                                                                                                                                                                                                                                                                       
 剑剑剑来/活动剧情/壹·大汉好风姿                              | 是这样没错，不必担心。无论你变成什么样，吾都不会离开你。                                                                                                                                                                                                                                                       
 剑剑剑来/活动剧情/壹·大汉好风姿                              | 好了，别斗嘴了。说正事吧。将人拉到这里，说明这里有你在意的事。是什么？                                                                                                                                                                                                                                                
 剑剑剑来/活动剧情/壹·大汉好风姿                              | 哈……哈哈……好了，继续吧。不能停太久。                                                                                                                                                                                                                                                               
 剑剑剑来/活动剧情/壹·大汉好风姿                              | 咳。既然这个外形没办法潜伏于公主身边，还是得换一个……                                                                                                                                                                                                                                                        
 剑剑剑来/活动剧情/壹·大汉好风姿                              | 有没有可能不是那位公主的问题……                                                                                                                                                                                                                                                                   
 剑剑剑来/活动剧情/壹·大汉好风姿                              | 是不是太强人所难了一点？                                                                                                                                                                                                                                                                       
 剑剑剑来/活动剧情/壹·大汉好风姿                              | 是啊，多试几种。这种长相看起来更像关外刺客吧……                                                                                                                                                                                                                                                           
 剑剑剑来/活动剧情/壹·大汉好风姿                              | 不，捉奸队就捉奸队吧！不必加隐鸢阁前缀了。                                                                                                                                                                                                                                                              
 剑剑剑来/活动剧情/壹·大汉好风姿                              | ……呼……应该没追上来。                                                                                                                                                                                                                                                                       
 剑剑剑来/活动剧情/壹·大汉好风姿                              | 好了，走下一步吧。你的身份，在这里应该是能直接用的。                                                                                                                                                                                                                                                         
 剑剑剑来/活动剧情/壹·大汉好风姿                              | 嗯，他们会在林子里打转半个月。现任广陵王是刘胥，父子多年未见，只要差别不大，应该也认不出……                                                                                                                                                                                                                                     
 剑剑剑来/活动剧情/壹·大汉好风姿                              | 作为武帝的王子要求协助石邑公主调查刺客，是最直接的方法。                                                                                                                                                                                                                                                       
 剑剑剑来/活动剧情/壹·大汉好风姿                              | 这样打光，柔光之后会看起来柔和点。                                                                                                                                                                                                                                                                  
 剑剑剑来/活动剧情/壹·大汉好风姿                              | 每日伏案九个时辰的实力吗……                                                                                                                                                                                                                                                                     
 剑剑剑来/活动剧情/壹·大汉好风姿                              | 不过，玩的也很开心呀。之后，还可以见到年轻时的元直呢。                                                                                                                                                                                                                                                        
 剑剑剑来/活动剧情/壹·大汉好风姿                              | 才没有。真是这样的。吾从来不骗你。                                                                                                                                                                                                                                                                  
 剑剑剑来/活动剧情/壹·大汉好风姿                              | 真报复了，你又要离家出走……                                                                                                                                                                                                                                                                     
 剑剑剑来/活动剧情/肆·剑魂仍惆怅                              | 这是隐鸢阁传递机密使用的阴文。                                                                                                                                                                                                                                                                    
 剑剑剑来/活动剧情/肆·剑魂仍惆怅                              | 你猜，吾接管隐鸢阁之后，多久意识到的？                                                                                                                                                                                                                                                                
 剑剑剑来/活动剧情/肆·剑魂仍惆怅                              | 就算想让手下替你借刀杀人，也要能借来刀才行。想想你张机师兄，你把刀给他，他都只会坐下削果皮。                                                                                                                                                                                                                                     
 剑剑剑来/活动剧情/肆·剑魂仍惆怅                              | 是啊，这不是等好弟子报恩拿盐场养云帝宫，稍微盈亏平衡一下吗。                                                                                                                                                                                                                                                     
 剑剑剑来/活动剧情/肆·剑魂仍惆怅                              | 她与其说防备心强，不如说不怕得罪任何人。                                                                                                                                                                                                                                                               
 剑剑剑来/活动剧情/肆·剑魂仍惆怅                              | 你敢把幽州牧刘虞扣在牢里，没有理由一口气五天吗？                                                                                                                                                                                                                                                           
 剑剑剑来/活动剧情/肆·剑魂仍惆怅                              | 对吧，想想铁骑兵临城下，不是闹着玩的。但她是真的不怕。                                                                                                                                                                                                                                                        
 剑剑剑来/活动剧情/肆·剑魂仍惆怅                              | 你就算以刘胥的身份回广陵起兵，她也不会把此事放眼里。可想而知，巫蛊之祸前，她结下了多少仇怨。                                                                                                                                                                                                                                     
 剑剑剑来/活动剧情/肆·剑魂仍惆怅                              | 天时，地利，人和。三者得其一可存，得其二可不败，得其三则必胜。                                                                                                                                                                                                                                                    
 剑剑剑来/活动剧情/肆·剑魂仍惆怅                              | 所以，有天命之说。但不知是得了天时之助的人先自称自己有天命，还是身负天命之人可得天时之助。                                                                                                                                                                                                                                      
 剑剑剑来/活动剧情/肆·剑魂仍惆怅                              | 张良当年出山，也是竭尽心力，方让三因俱全。但仙门出山只为压制里八华，他的出山在门内也有争议。                                                                                                                                                                                                                                     
 剑剑剑来/活动剧情/肆·剑魂仍惆怅                              | 有啊。但大家都会很自觉地埋在心里了。                                                                                                                                                                                                                                                                 
 剑剑剑来/活动剧情/肆·剑魂仍惆怅                              | 其实说出来也不会怎么样……嗯，不会怎么样。                                                                                                                                                                                                                                                              
 剑剑剑来/活动剧情/肆·剑魂仍惆怅                              | 本就是趁乱的掩杀，逃出来就没事了。                                                                                                                                                                                                                                                                  
 剑剑剑来/活动剧情/肆·剑魂仍惆怅                              | 冠军剑对这里不熟悉，所以，这里会出现很多超出控制的混沌。                                                                                                                                                                                                                                                       
 剑剑剑来/活动剧情/肆·剑魂仍惆怅                              | 是啊，说到底，在事情失控前，没有人真的相信张良遗书里的里八华。                                                                                                                                                                                                                                                    
 剑剑剑来/活动剧情/肆·剑魂仍惆怅                              | 就跟大部分朝事一样，“寻找里八华”成了手段，而非目的。就像现在这样，在当年，卫青也是少数能看清利害的人。                                                                                                                                                                                                                               
 剑剑剑来/活动剧情/肆·剑魂仍惆怅                              | 其他人都太年轻了，少年登高，有时并不是全然的好事。                                                                                                                                                                                                                                                          
 剑剑剑来/活动剧情/肆·剑魂仍惆怅                              | 没有。说实话，出乎吾的意料。他把气息和杀意藏得很好，甚至，好像根本没有杀意。                                                                                                                                                                                                                                             
 剑剑剑来/活动剧情/肆·剑魂仍惆怅                              | 剑中一生，现实一瞬。如果在此地相守，也是很有趣的一生。                                                                                                                                                                                                                                                        
 剑剑剑来/活动剧情/肆·剑魂仍惆怅                              | 如果障眼法恢复，说不定又能变回最早的威武气质，然后随武将站征四方，立不世战功……                                                                                                                                                                                                                                           
 剑剑剑来/活动剧情/肆·剑魂仍惆怅                              | 哈哈……对，吾在后面替你补城墙。怎么样？体验这样的一生，也算是休沐时的趣事了。                                                                                                                                                                                                                                            
 剑剑剑来/活动剧情/肆·剑魂仍惆怅                              | 怎么逛得那么快？没见到感兴趣的商铺吗？                                                                                                                                                                                                                                                                
